date,regime,rho,target_skewness,fitted_skewness,skewness_error,feasible
2011-08-04,Unconstrained,-0.03881251128429427,-1.3170000000000002,-1.3169999998939943,1.0600587074804935e-10,True
2011-08-05,Unconstrained,-0.1265758269469259,-1.936,-1.935999999774126,2.258739861815684e-10,True
2011-08-08,Unconstrained,-0.24797986076988807,-2.1060000000000003,-2.106000000002099,-2.098765605751396e-12,True
2011-08-09,Unconstrained,-0.22942915302735256,-2.4510000000000005,-2.4510000000000005,0.0,True
2011-08-10,Unconstrained,-0.1596605693830974,-1.8650000000000007,-1.865000000000001,-4.440892098500626e-16,True
2011-08-11,Unconstrained,-0.1658077695318423,-1.9989999999999994,-1.9989999999998287,1.7075230118734908e-13,True
2011-08-12,Unconstrained,-0.14972963563290062,-1.9790000000000005,-1.978999999990846,9.15445497184919e-12,True
2011-08-15,Unconstrained,-0.16344816288097022,-2.1760000000000006,-2.1759999999545734,4.5427217543192455e-11,True
2011-08-16,Unconstrained,-0.17856609895927522,-2.2409999999999997,-2.2409999999889454,1.1054268611587759e-11,True
2011-08-17,Unconstrained,-0.2368982968302383,-2.6159999999999997,-2.6160000000000005,-8.881784197001252e-16,True
2011-08-18,Unconstrained,-0.28895890630911236,-2.444,-2.443999997756615,2.2433850332959082e-09,True
2011-08-19,Unconstrained,-0.28260306921646605,-2.405,-2.4049999995070284,4.929714414458886e-10,True
2011-08-22,Unconstrained,-0.17227586971071535,-1.9400000000000006,-1.9400000000000015,-8.881784197001252e-16,True
2011-08-23,Unconstrained,-0.22867743153949893,-2.405,-2.4050000000000002,-4.440892098500626e-16,True
2011-08-24,Unconstrained,-0.21288743841597477,-2.3370000000000006,-2.3369999999999695,3.108624468950438e-14,True
2011-08-25,Unconstrained,-0.18596567019479843,-2.0810000000000004,-2.08099999999999,1.021405182655144e-14,True
2011-08-26,Unconstrained,-0.2033643608817436,-2.2969999999999997,-2.2969999999997928,2.0694557179012918e-13,True
2011-08-29,Unconstrained,-0.1528253404576713,-2.0989999999999993,-2.098999999926366,7.363309961760933e-11,True
2011-08-30,Unconstrained,-0.13786112262863254,-1.9900000000000007,-1.989999999886256,1.1374456931889654e-10,True
2011-08-31,Unconstrained,-0.13521464246577736,-2.0010000000000003,-2.000999999808175,1.9182522237315425e-10,True
2011-09-01,Unconstrained,-0.13924967972539112,-2.0230000000000006,-2.0229999998442696,1.557309836641707e-10,True
2011-09-02,Unconstrained,-0.13245536279366363,-1.9329999999999998,-1.9329999999142786,8.572120790972804e-11,True
2011-09-06,Unconstrained,-0.1752538695531061,-2.1040000000000005,-2.1039999999986576,1.3429257705865894e-12,True
2011-09-07,Unconstrained,-0.12151791933028483,-1.875,-1.8749999998506195,1.493805079633148e-10,True
2011-09-08,Unconstrained,-0.12200437663330632,-1.8590000000000004,-1.858999999910274,8.972644849336575e-11,True
2011-09-09,Unconstrained,-0.1078335624231147,-1.6900000000000006,-1.6899999999998878,1.127986593019159e-13,True
2011-09-12,Unconstrained,-0.11378642013702626,-1.7230000000000003,-1.722999999999832,1.6830981053317373e-13,True
2011-09-13,Unconstrained,-0.1219664872794724,-1.8049999999999997,-1.8049999999909159,9.083844787483031e-12,True
2011-09-14,Unconstrained,-0.0786214607563645,-1.5730000000000004,-1.5729999999288273,7.117306743964491e-11,True
2011-09-15,Unconstrained,-0.13622878005048747,-2.0,-1.9999999998332452,1.6675483216488374e-10,True
2011-09-16,Unconstrained,-0.18382901467796878,-2.3269999999999995,-2.3269999999881565,1.184297104828147e-11,True
2011-09-19,Unconstrained,-0.15092419182357608,-2.0760000000000005,-2.0759999999308856,6.91149359965948e-11,True
2011-09-20,Unconstrained,-0.1490288862238951,-2.061,-2.0609999999278306,7.216938158194353e-11,True
2011-09-21,Unconstrained,-0.16106326472050336,-2.0180000000000007,-2.0179999999977425,2.2581936320875684e-12,True
2011-09-22,Unconstrained,-0.16579988768633325,-1.9370000000000005,-1.9370000007930717,-7.930711642956112e-10,True
2011-09-23,Unconstrained,-0.14300217371214882,-1.8239999999999994,-1.823999999999999,4.440892098500626e-16,True
2011-09-26,Unconstrained,-0.17262827132015698,-2.0340000000000003,-2.033999999999883,1.1723955140041653e-13,True
2011-09-27,Unconstrained,-0.1514418290791108,-1.9549999999999996,-1.9549999999979388,2.0607959783092156e-12,True
2011-09-28,Unconstrained,-0.14165229528203852,-1.8209999999999993,-1.8209999999999993,0.0,True
2011-09-29,Unconstrained,-0.14592720197613218,-1.8969999999999998,-1.896999999999704,2.957634137601417e-13,True
2011-09-30,Unconstrained,-0.08491538314244923,-1.4829999999999999,-1.4830000000004724,-4.725109192804666e-13,True
2011-10-03,Unconstrained,-0.05921246248394078,-1.3090000000000004,-1.3090000000257964,-2.5796031977165512e-11,True
2011-10-04,Unconstrained,-0.0867160607232993,-1.528,-1.5280000000000284,-2.842170943040401e-14,True
2011-10-05,Unconstrained,-0.056246360723461855,-1.3870000000000005,-1.387000000000001,-4.440892098500626e-16,True
2011-10-06,Unconstrained,-0.07742998166143249,-1.5420000000000003,-1.5419999999929723,7.027933790482166e-12,True
