date,regime,rho,eta,gamma,butterfly_free,calendar_free,arbitrage_free,min_butterfly_g,butterfly_violations,calendar_violations,min_calendar_slope,density_mass_VIX9D,density_mass_VIX,density_mass_VIX3M,density_mass_VIX6M,density_mass_VIX1Y,sufficient_conditions_hold,max_condition_1,max_condition_2,max_density_mass_error,density_valid
2020-05-15,No-arbitrage enforced,-0.4389029140387155,1.1257055870842532,0.5381008841136713,True,True,True,0.25304866069040083,0,0,0.0061821934520547945,1.0000000000005047,1.0000000032133944,1.0000002001260442,1.0000007264468145,1.0000012874865003,True,0.5521473698114587,2.90319802118146,1.2874865003009717e-06,True
2020-05-18,No-arbitrage enforced,-0.5585032487465976,1.1257055870842532,0.5381008841136713,True,True,True,0.25207775446020375,0,0,0.0051750466849315065,1.0000000000006235,1.0000000031582619,1.0000001954642521,1.0000007196038512,1.0000012560380163,True,0.5682573861696306,3.180527538168954,1.25603801626184e-06,True
2020-05-19,No-arbitrage enforced,-0.514498583597706,1.1257055870842532,0.5381008841136713,True,True,True,0.2523736931115843,0,0,0.005723643534246576,1.000000000000471,1.0000000034962249,1.0000001991933156,1.000000699575257,1.0000012381373706,True,0.5562771429410643,3.0836316641051305,1.2381373706293886e-06,True
2020-05-20,No-arbitrage enforced,-0.4663734979887839,1.1257055870842532,0.5381008841136713,True,True,True,0.25219713251180664,0,0,0.004906755863013698,1.0000000000000244,1.0000000011174353,1.0000001360244344,1.0000005887608954,1.000001131308231,True,0.5261727836558154,3.0405897320030695,1.131308231094863e-06,True
2020-05-21,No-arbitrage enforced,-0.4345323825891375,1.1257055870842532,0.5381008841136713,True,True,True,0.25253320573253935,0,0,0.005481157397260274,1.0000000000000409,1.0000000015165702,1.0000001484488759,1.0000006157857282,1.0000011593081581,True,0.5264782336877099,2.952566883910177,1.1593081581384723e-06,True
2020-05-22,No-arbitrage enforced,-0.4625155561337743,1.1257055870842532,0.5381008841136713,True,True,True,0.25201392581390486,0,0,0.005159452027397261,1.0000000000000064,1.0000000011553727,1.0000001433793797,1.0000006223817577,1.00000115470516,True,0.5301978804552026,3.06110264875784,1.1547051599336555e-06,True
2020-05-26,No-arbitrage enforced,-0.549604205718291,1.1257055870842532,0.5381008841136713,True,True,True,0.2518573358520013,0,0,0.00484508301369863,1.000000000000127,1.000000001974588,1.000000167830049,1.000000678122974,1.000001184780921,True,0.5502839865729295,3.2019115677711962,1.1847809209264426e-06,True
2020-05-27,No-arbitrage enforced,-0.5718353690351671,1.1257055870842532,0.5381008841136713,True,True,True,0.2517055415560197,0,0,0.004707992301369862,1.0000000000001323,1.000000001989795,1.0000001621590848,1.0000006614036168,1.0000011548935526,True,0.5469143470240729,3.2544249481849112,1.1548935525684811e-06,True
2020-05-28,No-arbitrage enforced,-0.6004550319949117,1.1257055870842532,0.5381008841136713,True,True,True,0.2516605760708947,0,0,0.0050488436712328765,1.0000000000003537,1.0000000032460608,1.000000202226414,1.0000007303907865,1.0000012081633176,True,0.5638288911751275,3.2966240661819364,1.2081633176119766e-06,True
2020-05-29,No-arbitrage enforced,-0.6229425496530803,1.1257055870842532,0.5381008841136713,True,True,True,0.2513873995026194,0,0,0.004729312356164384,1.0000000000001625,1.0000000026136966,1.0000001881784524,1.0000007166571343,1.000001201077492,True,0.5656831207588823,3.3724218589096853,1.2010774919080092e-06,True
2020-06-01,No-arbitrage enforced,-0.6386529010931931,1.1257055870842532,0.5381008841136713,True,True,True,0.25157985736260324,0,0,0.004741931342465753,1.0000000000011184,1.0000000036052337,1.0000002139850723,1.0000007568958635,1.0000012212884721,True,0.5734800409016505,3.3543969073719633,1.221288472130766e-06,True
2020-06-02,No-arbitrage enforced,-0.6464445503204554,1.1257055870842532,0.5381008841136713,True,True,True,0.25132180589550807,0,0,0.004372475506849314,1.0000000000003086,1.0000000023912978,1.000000190403231,1.0000007286476493,1.000001198877577,True,0.5688660479329074,3.411219488956883,1.1988775769911086e-06,True
2020-06-03,No-arbitrage enforced,-0.6072682904227004,1.1257055870842532,0.5381008841136713,True,True,True,0.2513951642739547,0,0,0.003995073945205479,1.000000000000081,1.0000000012206192,1.0000001471356423,1.0000006520189926,1.000001138897104,True,0.54829498496756,3.3531045653186693,1.138897103958314e-06,True
2020-06-04,No-arbitrage enforced,-0.5871512396287928,1.1257055870842532,0.5381008841136713,True,True,True,0.2514442943228238,0,0,0.004106580986301369,1.0000000000000437,1.0000000011343058,1.000000137573891,1.0000006286201268,1.0000011247230358,True,0.5422417675115875,3.3200009306650715,1.1247230358168991e-06,True
2020-06-05,No-arbitrage enforced,-0.5580411973206583,1.1257055870842532,0.5381008841136713,True,True,True,0.251471034801771,0,0,0.003678865726027398,1.0000000000000124,1.000000000542806,1.000000098092468,1.0000005305320472,1.0000010131084873,True,0.5140779801417611,3.2794945899220727,1.0131084873243879e-06,True
2020-06-08,No-arbitrage enforced,-0.5418583209403066,1.1257055870842532,0.5381008841136713,True,True,True,0.2518561735309516,0,0,0.003911888054794519,1.0000000000000893,1.0000000008327619,1.0000001049875094,1.0000005347841712,1.0000010065664573,True,0.5108050942369083,3.192161710453523,1.0065664572955768e-06,True
2020-06-09,No-arbitrage enforced,-0.44038245969288087,1.1257055870842532,0.5381008841136713,True,True,True,0.2526169370269978,0,0,0.004460539561643835,1.0000000000000802,1.0000000007895993,1.00000009859632,1.000000500472158,1.00000098155187,True,0.49342023854525974,2.9512504084371916,9.815518700051484e-07,True
